label,sourceLen,tokens,descriptors,duplicateDescriptors,suppressedDescriptors,crfSize,yieldCount,matched,oraclePruned
testIf#1,13,5,91,0,16,44,51,true,4
testImports#1,17,2,53,0,3,27,26,true,5
testTernary#1,17,9,242,0,84,98,113,true,6
testIf#2,21,7,141,0,43,63,90,true,26
testStructParsing#1,13,4,53,0,1,29,32,true,4
testSequence#1,40,19,465,0,112,182,291,true,50
testIf#3,12,5,91,0,16,44,51,true,4
testFuncParsing#1,13,6,65,0,2,35,44,true,4
testClosureLiterals#1,51,17,507,0,127,223,285,true,130
testIf#4,51,14,363,0,136,149,242,true,73
testFuncParsing#2,51,14,187,0,15,82,125,true,34
testClosureLiterals#2,49,15,371,0,72,166,193,true,69
testDo#1,7,3,44,0,1,23,22,true,4
testFuncParsing#3,326,91,1078,0,80,503,776,true,187
testClosureLiterals#3,96,43,841,0,259,338,608,true,242
testDoCatch#1,18,6,101,0,15,51,59,true,29
testFuncParsing#4,46,18,312,0,41,145,207,true,34
testTrailingClosures#1,69,19,464,0,159,189,339,true,102
testDoCatch#2,52,16,338,0,78,142,201,true,76
testFuncParsing#5,45,18,312,0,41,145,207,true,34
testTrailingClosures#2,30,7,202,0,67,92,123,true,58
testReturn#1,12,2,92,0,18,40,44,true,13
testFuncParsing#6,28,10,118,0,7,61,81,true,10
testSequenceExpressions#1,9,4,94,0,30,37,52,true,15
testReturn#2,12,4,136,0,30,62,76,true,13
testClassParsing#1,12,4,108,0,1,67,43,true,14
testSequenceExpressions#2,86,16,502,0,147,211,267,true,121
testReturn#3,6,1,42,0,1,21,18,true,4
testClassParsing#2,96,23,566,1,79,246,377,true,195
testNestedTypeSpecialization#1,25,11,364,1,106,138,266,true,185
testReturn#4,59,11,274,0,90,112,168,true,60
testClassParsing#3,44,11,116,0,9,59,86,true,15
testObjectLiterals#1,134,55,1166,0,407,455,867,true,497
testReturn#5,23,6,168,0,42,73,93,true,15
testActorParsing#1,12,4,81,0,19,39,52,true,24
testObjectLiterals#2,157,25,585,0,213,243,393,true,172
testReturn#6,79,17,451,0,66,218,220,true,60
testActorParsing#2,166,42,691,0,150,325,463,true,142
testKeypathExpression#1,7,5,97,0,29,38,78,true,35
testSwitch#1,33,12,291,0,65,139,157,true,38
testProtocolParsing#1,15,4,53,0,1,29,32,true,4
testKeypathExpression#2,53,12,239,0,89,91,199,true,96
testSwitch#3,97,26,775,0,90,395,344,true,120
testProtocolParsing#2,21,7,93,0,4,53,66,true,14
testKeypathExpression#3,20,13,215,0,51,92,128,true,13
testMissingIfClauseIntroducer#1,12,6,155,0,57,68,109,true,28
testVariableDeclarations#1,20,7,211,0,44,87,112,true,25
testKeypathExpression#4,30,9,137,0,26,57,87,true,13
testIfHasSymbol#1,22,8,187,0,74,76,135,true,53
testVariableDeclarations#2,160,34,1062,0,300,471,637,true,271
testKeypathExpression#5,6,6,117,0,32,49,93,true,38
testIfHasSymbol#2,34,14,302,1,88,116,208,true,100
testVariableDeclarations#3,36,9,223,0,37,106,125,true,62
